,open,high,low,close,volume
20231123 01:30:00 Australia/Sydney,454.99,455.35,454.89,455.35,7569.38
20231123 01:31:00 Australia/Sydney,455.35,455.38,455.18,455.38,1927.23
20231123 01:32:00 Australia/Sydney,455.36,455.67,455.34,455.56,2448.94
20231123 01:33:00 Australia/Sydney,455.55,455.64,455.5,455.61,2250.06
20231123 01:34:00 Australia/Sydney,455.62,455.9,455.6,455.71,3157.46
20231123 01:35:00 Australia/Sydney,455.71,455.92,455.71,455.86,2496.76
20231123 01:36:00 Australia/Sydney,455.86,456.1,455.81,456.09,2486.63
20231123 01:37:00 Australia/Sydney,456.08,456.22,456.07,456.19,2314.86
20231123 01:38:00 Australia/Sydney,456.2,456.2,455.99,456.06,2414.27
20231123 01:39:00 Australia/Sydney,456.06,456.19,456.05,456.12,1327.67
20231123 01:40:00 Australia/Sydney,456.12,456.16,456.03,456.14,1028.86
20231123 01:41:00 Australia/Sydney,456.14,456.24,456.11,456.16,1462.37
20231123 01:42:00 Australia/Sydney,456.17,456.38,456.16,456.23,2265.28
20231123 01:43:00 Australia/Sydney,456.22,456.26,456.15,456.23,2175.08
20231123 01:44:00 Australia/Sydney,456.23,456.29,456.12,456.13,977.57
20231123 01:45:00 Australia/Sydney,456.14,456.22,456.1,456.16,1354.1
20231123 01:46:00 Australia/Sydney,456.15,456.18,455.91,455.91,1770.41
20231123 01:47:00 Australia/Sydney,455.91,455.92,455.79,455.82,2144.45
20231123 01:48:00 Australia/Sydney,455.82,455.99,455.82,455.92,1927.14
20231123 01:49:00 Australia/Sydney,455.91,455.96,455.88,455.91,1631.27
20231123 01:50:00 Australia/Sydney,455.9,455.98,455.71,455.74,1870.27
20231123 01:51:00 Australia/Sydney,455.74,455.76,455.59,455.6,1252.84
20231123 01:52:00 Australia/Sydney,455.58,455.58,455.04,455.08,7566.31
20231123 01:53:00 Australia/Sydney,455.07,455.14,454.72,454.81,4479.35
20231123 01:54:00 Australia/Sydney,454.81,454.82,454.6,454.7,2194.02
20231123 01:55:00 Australia/Sydney,454.75,454.8,454.51,454.54,2612.01
20231123 01:56:00 Australia/Sydney,454.54,454.57,454.34,454.42,1580.19
20231123 01:57:00 Australia/Sydney,454.43,454.85,454.38,454.84,3141.27
20231123 01:58:00 Australia/Sydney,454.84,454.89,454.73,454.85,1968.86
20231123 01:59:00 Australia/Sydney,454.85,455.07,454.83,454.94,1140.86
20231123 02:00:00 Australia/Sydney,454.93,455.04,454.36,454.39,2155.11
20231123 02:01:00 Australia/Sydney,454.4,454.41,454.07,454.34,3606.18
20231123 02:02:00 Australia/Sydney,454.37,454.42,454.09,454.23,1699.22
20231123 02:03:00 Australia/Sydney,454.22,454.34,454.09,454.28,2357.41
20231123 02:04:00 Australia/Sydney,454.28,454.33,454.04,454.11,2461.44
20231123 02:05:00 Australia/Sydney,454.12,454.28,454.08,454.28,1102.55
20231123 02:06:00 Australia/Sydney,454.27,454.32,454.07,454.13,1306.88
20231123 02:07:00 Australia/Sydney,454.13,454.24,454.06,454.09,648.2
20231123 02:08:00 Australia/Sydney,454.09,454.19,454.02,454.06,1673.23
20231123 02:09:00 Australia/Sydney,454.07,454.17,453.96,453.98,1478.83
20231123 02:10:00 Australia/Sydney,453.98,454.2,453.97,454.18,1479.93
20231123 02:11:00 Australia/Sydney,454.16,454.18,454.06,454.16,1108.48
20231123 02:12:00 Australia/Sydney,454.17,454.48,454.13,454.47,2216.44
20231123 02:13:00 Australia/Sydney,454.47,454.47,454.23,454.39,1282.1
20231123 02:14:00 Australia/Sydney,454.39,454.42,454.2,454.42,1108.41
20231123 02:15:00 Australia/Sydney,454.42,454.49,454.31,454.48,2174.36
20231123 02:16:00 Australia/Sydney,454.47,454.48,454.29,454.3,792.42
20231123 02:17:00 Australia/Sydney,454.29,454.29,454.06,454.11,1807.39
20231123 02:18:00 Australia/Sydney,454.12,454.19,453.88,454.17,1725.81
20231123 02:19:00 Australia/Sydney,454.17,454.4,454.13,454.39,1510.44
20231123 02:20:00 Australia/Sydney,454.39,454.42,454.27,454.4,1094.08
20231123 02:21:00 Australia/Sydney,454.41,454.61,454.39,454.6,2041.46
20231123 02:22:00 Australia/Sydney,454.6,454.75,454.6,454.7,1709.19
20231123 02:23:00 Australia/Sydney,454.7,454.8,454.7,454.76,1181.16
20231123 02:24:00 Australia/Sydney,454.77,454.96,454.7,454.95,3316.8
20231123 02:25:00 Australia/Sydney,454.96,454.98,454.75,454.83,1603.91
20231123 02:26:00 Australia/Sydney,454.82,454.96,454.82,454.92,895.93
20231123 02:27:00 Australia/Sydney,454.93,454.93,454.65,454.69,1701.24
20231123 02:28:00 Australia/Sydney,454.68,454.79,454.55,454.79,1867.32
20231123 02:29:00 Australia/Sydney,454.78,454.98,454.77,454.96,938.12
20231123 02:30:00 Australia/Sydney,454.96,455.27,454.93,455.25,2090.14
20231123 02:31:00 Australia/Sydney,455.25,455.26,455.08,455.2,1179.99
20231123 02:32:00 Australia/Sydney,455.21,455.39,455.2,455.27,2715.78
20231123 02:33:00 Australia/Sydney,455.26,455.3,455.22,455.29,899.09
20231123 02:34:00 Australia/Sydney,455.29,455.33,455.18,455.27,1534.44
20231123 02:35:00 Australia/Sydney,455.26,455.42,455.25,455.41,1879.24
20231123 02:36:00 Australia/Sydney,455.41,455.52,455.32,455.52,1376.18
20231123 02:37:00 Australia/Sydney,455.51,455.51,455.4,455.47,750.43
20231123 02:38:00 Australia/Sydney,455.48,455.53,455.23,455.3,1792.81
20231123 02:39:00 Australia/Sydney,455.3,455.31,455.2,455.23,1769.8
20231123 02:40:00 Australia/Sydney,455.24,455.45,455.19,455.42,2164.91
20231123 02:41:00 Australia/Sydney,455.43,455.5,455.26,455.33,922.63
20231123 02:42:00 Australia/Sydney,455.33,455.34,455.11,455.17,997.51
20231123 02:43:00 Australia/Sydney,455.2,455.42,455.17,455.42,1445.83
20231123 02:44:00 Australia/Sydney,455.42,455.43,455.28,455.31,859.5
20231123 02:45:00 Australia/Sydney,455.31,455.38,455.23,455.25,675.13
20231123 02:46:00 Australia/Sydney,455.24,455.3,455.1,455.17,1119.97
20231123 02:47:00 Australia/Sydney,455.17,455.25,455.14,455.24,877.64
20231123 02:48:00 Australia/Sydney,455.24,455.25,455.11,455.18,1193.67
20231123 02:49:00 Australia/Sydney,455.18,455.19,455.03,455.04,718.29
20231123 02:50:00 Australia/Sydney,455.04,455.13,455.0,455.11,697.02
20231123 02:51:00 Australia/Sydney,455.12,455.25,454.99,455.02,550.02
20231123 02:52:00 Australia/Sydney,455.02,455.02,454.62,454.71,1994.05
20231123 02:53:00 Australia/Sydney,454.71,454.72,454.31,454.36,2045.39
20231123 02:54:00 Australia/Sydney,454.34,454.57,454.28,454.5,1157.09
20231123 02:55:00 Australia/Sydney,454.5,454.68,454.41,454.61,984.3
20231123 02:56:00 Australia/Sydney,454.62,454.64,454.44,454.53,1360.93
20231123 02:57:00 Australia/Sydney,454.53,454.53,454.39,454.46,404.93
20231123 02:58:00 Australia/Sydney,454.48,454.55,454.47,454.5,517.83
20231123 02:59:00 Australia/Sydney,454.51,454.64,454.49,454.51,590.73
20231123 03:00:00 Australia/Sydney,454.51,454.62,454.45,454.59,763.72
20231123 03:01:00 Australia/Sydney,454.56,454.75,454.48,454.75,874.53
20231123 03:02:00 Australia/Sydney,454.75,454.98,454.74,454.96,1501.96
20231123 03:03:00 Australia/Sydney,454.95,454.96,454.75,454.78,799.68
20231123 03:04:00 Australia/Sydney,454.78,454.9,454.72,454.9,575.52
20231123 03:05:00 Australia/Sydney,454.9,454.94,454.75,454.89,604.48
20231123 03:06:00 Australia/Sydney,454.88,454.97,454.87,454.92,681
20231123 03:07:00 Australia/Sydney,454.93,454.94,454.77,454.86,609.92
20231123 03:08:00 Australia/Sydney,454.84,454.95,454.77,454.95,862.73
20231123 03:09:00 Australia/Sydney,454.96,454.96,454.8,454.84,405.89
20231123 03:10:00 Australia/Sydney,454.83,454.89,454.78,454.86,853.78
20231123 03:11:00 Australia/Sydney,454.87,454.97,454.82,454.87,644.54
20231123 03:12:00 Australia/Sydney,454.87,455.07,454.78,455.07,983.66
20231123 03:13:00 Australia/Sydney,455.06,455.22,455.04,455.18,1830.94
20231123 03:14:00 Australia/Sydney,455.18,455.2,455.09,455.11,825.69
20231123 03:15:00 Australia/Sydney,455.1,455.14,454.99,455.02,1587.08
20231123 03:16:00 Australia/Sydney,455.03,455.09,454.84,455.07,994.32
20231123 03:17:00 Australia/Sydney,455.07,455.2,454.87,454.94,1149.02
20231123 03:18:00 Australia/Sydney,454.94,454.99,454.86,454.86,553.48
20231123 03:19:00 Australia/Sydney,454.88,454.96,454.8,454.88,845.44
20231123 03:20:00 Australia/Sydney,454.88,454.9,454.75,454.8,705.11
20231123 03:21:00 Australia/Sydney,454.79,454.92,454.77,454.78,705.65
20231123 03:22:00 Australia/Sydney,454.78,454.95,454.73,454.88,721.93
20231123 03:23:00 Australia/Sydney,454.88,454.97,454.81,454.97,1013
20231123 03:24:00 Australia/Sydney,454.97,455.05,454.91,454.98,883.67
20231123 03:25:00 Australia/Sydney,454.98,454.99,454.86,454.9,534.6
20231123 03:26:00 Australia/Sydney,454.91,454.97,454.85,454.9,462.48
20231123 03:27:00 Australia/Sydney,454.89,454.94,454.8,454.81,365.36
20231123 03:28:00 Australia/Sydney,454.81,454.84,454.75,454.8,564.9
20231123 03:29:00 Australia/Sydney,454.81,455.02,454.8,455.01,675.44
20231123 03:30:00 Australia/Sydney,455.02,455.18,455.01,455.15,1586.38
20231123 03:31:00 Australia/Sydney,455.16,455.26,455.12,455.13,2078.98
20231123 03:32:00 Australia/Sydney,455.12,455.2,455.1,455.15,1260.86
20231123 03:33:00 Australia/Sydney,455.15,455.23,455.12,455.15,496.69
20231123 03:34:00 Australia/Sydney,455.14,455.22,455.12,455.13,623.18
20231123 03:35:00 Australia/Sydney,455.13,455.13,454.95,454.96,608.6
20231123 03:36:00 Australia/Sydney,454.98,455.09,454.97,455.02,521.74
20231123 03:37:00 Australia/Sydney,455.01,455.01,454.91,454.93,493.51
20231123 03:38:00 Australia/Sydney,454.94,455.06,454.92,455.06,501.85
20231123 03:39:00 Australia/Sydney,455.05,455.06,454.89,454.93,516.33
20231123 03:40:00 Australia/Sydney,454.93,455.03,454.89,454.97,765.38
20231123 03:41:00 Australia/Sydney,454.97,455.01,454.92,454.99,255.02
20231123 03:42:00 Australia/Sydney,454.98,455.06,454.89,455.05,714.18
20231123 03:43:00 Australia/Sydney,455.05,455.16,455.03,455.14,474.98
20231123 03:44:00 Australia/Sydney,455.15,455.24,455.14,455.23,819.6
20231123 03:45:00 Australia/Sydney,455.23,455.31,455.19,455.2,758.92
20231123 03:46:00 Australia/Sydney,455.19,455.26,455.14,455.23,571.89
20231123 03:47:00 Australia/Sydney,455.23,455.26,455.17,455.25,996.28
20231123 03:48:00 Australia/Sydney,455.26,455.27,455.21,455.25,247.32
20231123 03:49:00 Australia/Sydney,455.25,455.25,455.16,455.19,360.74
20231123 03:50:00 Australia/Sydney,455.19,455.24,455.05,455.17,721.65
20231123 03:51:00 Australia/Sydney,455.18,455.24,455.17,455.2,402.49
20231123 03:52:00 Australia/Sydney,455.21,455.29,455.2,455.27,389.05
20231123 03:53:00 Australia/Sydney,455.27,455.28,455.16,455.18,427.65
20231123 03:54:00 Australia/Sydney,455.18,455.19,455.09,455.13,420.27
20231123 03:55:00 Australia/Sydney,455.13,455.24,455.09,455.23,1064.73
20231123 03:56:00 Australia/Sydney,455.25,455.31,455.23,455.26,458.72
20231123 03:57:00 Australia/Sydney,455.25,455.33,455.18,455.3,365.47
20231123 03:58:00 Australia/Sydney,455.3,455.48,455.29,455.45,1563.73
20231123 03:59:00 Australia/Sydney,455.44,455.57,455.44,455.51,1746.4
20231123 04:00:00 Australia/Sydney,455.51,455.58,455.46,455.54,1136.88
20231123 04:01:00 Australia/Sydney,455.55,455.6,455.49,455.6,609.72
20231123 04:02:00 Australia/Sydney,455.6,455.71,455.58,455.65,1557.82
20231123 04:03:00 Australia/Sydney,455.66,455.7,455.54,455.56,606.03
20231123 04:04:00 Australia/Sydney,455.57,455.71,455.57,455.7,504.69
20231123 04:05:00 Australia/Sydney,455.7,455.77,455.67,455.72,979.82
20231123 04:06:00 Australia/Sydney,455.71,455.79,455.71,455.76,478.7
20231123 04:07:00 Australia/Sydney,455.76,455.81,455.74,455.76,693.32
20231123 04:08:00 Australia/Sydney,455.75,455.83,455.71,455.77,1230.64
20231123 04:09:00 Australia/Sydney,455.78,455.83,455.77,455.82,404.08
20231123 04:10:00 Australia/Sydney,455.82,455.9,455.79,455.82,1195.39
20231123 04:11:00 Australia/Sydney,455.83,455.85,455.78,455.82,686.19
20231123 04:12:00 Australia/Sydney,455.83,455.84,455.63,455.73,1310.85
20231123 04:13:00 Australia/Sydney,455.73,455.75,455.62,455.62,848.66
20231123 04:14:00 Australia/Sydney,455.63,455.64,455.21,455.22,2026.64
20231123 04:15:00 Australia/Sydney,455.23,455.42,455.15,455.35,1090.32
20231123 04:16:00 Australia/Sydney,455.36,455.39,455.2,455.33,682.93
20231123 04:17:00 Australia/Sydney,455.32,455.36,455.23,455.35,406.18
20231123 04:18:00 Australia/Sydney,455.37,455.44,455.35,455.37,389.76
20231123 04:19:00 Australia/Sydney,455.37,455.51,455.32,455.48,360.18
20231123 04:20:00 Australia/Sydney,455.48,455.54,455.45,455.46,320.76
20231123 04:21:00 Australia/Sydney,455.47,455.56,455.44,455.48,279.56
20231123 04:22:00 Australia/Sydney,455.49,455.61,455.46,455.59,517.36
20231123 04:23:00 Australia/Sydney,455.58,455.63,455.53,455.54,697.07
20231123 04:24:00 Australia/Sydney,455.53,455.61,455.5,455.54,1434.1
20231123 04:25:00 Australia/Sydney,455.55,455.58,455.41,455.58,623.03
20231123 04:26:00 Australia/Sydney,455.59,455.61,455.54,455.54,318.15
20231123 04:27:00 Australia/Sydney,455.53,455.6,455.41,455.6,553.45
20231123 04:28:00 Australia/Sydney,455.59,455.59,455.39,455.5,2105.13
20231123 04:29:00 Australia/Sydney,455.5,455.5,455.38,455.38,499.61
20231123 04:30:00 Australia/Sydney,455.39,455.41,455.3,455.35,793.58
20231123 04:31:00 Australia/Sydney,455.35,455.4,455.2,455.22,796.98
20231123 04:32:00 Australia/Sydney,455.21,455.24,455.06,455.08,732.23
20231123 04:33:00 Australia/Sydney,455.06,455.11,454.87,455.04,1720.6
20231123 04:34:00 Australia/Sydney,455.03,455.2,455.0,455.16,737.38
20231123 04:35:00 Australia/Sydney,455.17,455.17,455.07,455.13,472.99
20231123 04:36:00 Australia/Sydney,455.13,455.22,455.13,455.15,407.44
20231123 04:37:00 Australia/Sydney,455.16,455.18,455.11,455.12,478.5
20231123 04:38:00 Australia/Sydney,455.11,455.18,455.08,455.15,1278.84
20231123 04:39:00 Australia/Sydney,455.14,455.17,455.11,455.12,440.32
20231123 04:40:00 Australia/Sydney,455.11,455.13,455.01,455.07,938.87
20231123 04:41:00 Australia/Sydney,455.08,455.09,454.91,454.93,1257.82
20231123 04:42:00 Australia/Sydney,454.94,455.01,454.91,454.93,1011.87
20231123 04:43:00 Australia/Sydney,454.92,454.93,454.69,454.82,1280.43
20231123 04:44:00 Australia/Sydney,454.82,454.84,454.73,454.81,706.18
20231123 04:45:00 Australia/Sydney,454.81,454.81,454.69,454.77,1370.73
20231123 04:46:00 Australia/Sydney,454.77,454.85,454.75,454.85,897.63
20231123 04:47:00 Australia/Sydney,454.84,454.86,454.76,454.83,560.12
20231123 04:48:00 Australia/Sydney,454.83,454.83,454.66,454.77,902.16
20231123 04:49:00 Australia/Sydney,454.76,454.77,454.65,454.67,942.41
20231123 04:50:00 Australia/Sydney,454.68,454.75,454.62,454.75,881.78
20231123 04:51:00 Australia/Sydney,454.75,454.89,454.73,454.87,938.51
20231123 04:52:00 Australia/Sydney,454.87,455.03,454.76,455.0,1049.81
20231123 04:53:00 Australia/Sydney,455.0,455.06,454.94,455.0,803.58
20231123 04:54:00 Australia/Sydney,454.99,454.99,454.89,454.92,545.15
20231123 04:55:00 Australia/Sydney,454.92,454.98,454.88,454.96,379.61
20231123 04:56:00 Australia/Sydney,454.96,455.01,454.82,454.87,460.28
20231123 04:57:00 Australia/Sydney,454.86,455.01,454.86,454.95,288.02
20231123 04:58:00 Australia/Sydney,454.95,455.1,454.94,455.07,380.12
20231123 04:59:00 Australia/Sydney,455.07,455.14,455.04,455.08,340.07
20231123 05:00:00 Australia/Sydney,455.08,455.21,455.07,455.14,707.73
20231123 05:01:00 Australia/Sydney,455.13,455.16,455.03,455.12,335.74
20231123 05:02:00 Australia/Sydney,455.12,455.18,455.12,455.16,572.36
20231123 05:03:00 Australia/Sydney,455.16,455.16,455.07,455.08,205.34
20231123 05:04:00 Australia/Sydney,455.08,455.1,455.0,455.01,347.96
20231123 05:05:00 Australia/Sydney,455.01,455.19,455.01,455.19,261.53
20231123 05:06:00 Australia/Sydney,455.19,455.35,455.16,455.33,422.28
20231123 05:07:00 Australia/Sydney,455.33,455.33,455.22,455.3,658.28
20231123 05:08:00 Australia/Sydney,455.31,455.35,455.26,455.33,754.97
20231123 05:09:00 Australia/Sydney,455.33,455.36,455.27,455.32,219.41
20231123 05:10:00 Australia/Sydney,455.32,455.33,455.2,455.28,356.79
20231123 05:11:00 Australia/Sydney,455.28,455.35,455.28,455.35,232.09
20231123 05:12:00 Australia/Sydney,455.34,455.36,455.27,455.29,451.65
20231123 05:13:00 Australia/Sydney,455.29,455.47,455.28,455.46,919.89
20231123 05:14:00 Australia/Sydney,455.47,455.54,455.44,455.44,1087.93
20231123 05:15:00 Australia/Sydney,455.45,455.51,455.41,455.42,806.74
20231123 05:16:00 Australia/Sydney,455.41,455.42,455.24,455.26,943.69
20231123 05:17:00 Australia/Sydney,455.25,455.27,455.13,455.18,651.43
20231123 05:18:00 Australia/Sydney,455.18,455.22,455.14,455.21,264.24
20231123 05:19:00 Australia/Sydney,455.21,455.26,455.16,455.21,462.84
20231123 05:20:00 Australia/Sydney,455.21,455.32,455.2,455.29,601.24
20231123 05:21:00 Australia/Sydney,455.29,455.45,455.29,455.43,457.67
20231123 05:22:00 Australia/Sydney,455.43,455.43,455.36,455.42,268.13
20231123 05:23:00 Australia/Sydney,455.41,455.52,455.39,455.5,447.57
20231123 05:24:00 Australia/Sydney,455.5,455.51,455.42,455.46,306.23
20231123 05:25:00 Australia/Sydney,455.46,455.51,455.45,455.49,397.85
20231123 05:26:00 Australia/Sydney,455.48,455.48,455.37,455.44,508.7
20231123 05:27:00 Australia/Sydney,455.44,455.46,455.4,455.44,446.3
20231123 05:28:00 Australia/Sydney,455.44,455.5,455.43,455.45,497.13
20231123 05:29:00 Australia/Sydney,455.45,455.57,455.45,455.55,515.2
20231123 05:30:00 Australia/Sydney,455.55,455.6,455.51,455.56,833.08
20231123 05:31:00 Australia/Sydney,455.57,455.6,455.43,455.44,524.87
20231123 05:32:00 Australia/Sydney,455.45,455.45,455.38,455.39,1407.19
20231123 05:33:00 Australia/Sydney,455.39,455.4,455.31,455.39,472.36
20231123 05:34:00 Australia/Sydney,455.39,455.52,455.38,455.52,424.32
20231123 05:35:00 Australia/Sydney,455.51,455.52,455.39,455.45,462.97
20231123 05:36:00 Australia/Sydney,455.45,455.49,455.38,455.41,443.06
20231123 05:37:00 Australia/Sydney,455.4,455.52,455.4,455.48,308.59
20231123 05:38:00 Australia/Sydney,455.47,455.5,455.36,455.38,325.66
20231123 05:39:00 Australia/Sydney,455.36,455.4,455.34,455.39,485.88
20231123 05:40:00 Australia/Sydney,455.4,455.4,455.34,455.37,619.3
20231123 05:41:00 Australia/Sydney,455.37,455.45,455.32,455.45,1333
20231123 05:42:00 Australia/Sydney,455.44,455.48,455.39,455.4,667.88
20231123 05:43:00 Australia/Sydney,455.4,455.41,455.23,455.25,969.01
20231123 05:44:00 Australia/Sydney,455.24,455.28,455.22,455.28,407.99
20231123 05:45:00 Australia/Sydney,455.28,455.32,455.2,455.32,469.42
20231123 05:46:00 Australia/Sydney,455.32,455.4,455.29,455.4,285.48
20231123 05:47:00 Australia/Sydney,455.4,455.41,455.32,455.35,443.15
20231123 05:48:00 Australia/Sydney,455.34,455.37,455.29,455.32,448.14
20231123 05:49:00 Australia/Sydney,455.33,455.36,455.29,455.33,308.3
20231123 05:50:00 Australia/Sydney,455.33,455.34,455.28,455.33,398.82
20231123 05:51:00 Australia/Sydney,455.32,455.42,455.29,455.42,582.35
20231123 05:52:00 Australia/Sydney,455.42,455.47,455.39,455.45,611.35
20231123 05:53:00 Australia/Sydney,455.45,455.47,455.36,455.36,557.31
20231123 05:54:00 Australia/Sydney,455.37,455.41,455.31,455.31,538.51
20231123 05:55:00 Australia/Sydney,455.31,455.46,455.31,455.46,546.7
20231123 05:56:00 Australia/Sydney,455.46,455.47,455.4,455.42,666.27
20231123 05:57:00 Australia/Sydney,455.42,455.48,455.42,455.43,340.67
20231123 05:58:00 Australia/Sydney,455.43,455.46,455.39,455.39,373.3
20231123 05:59:00 Australia/Sydney,455.4,455.45,455.22,455.32,1363.5
20231123 06:00:00 Australia/Sydney,455.31,455.46,455.3,455.44,1236.54
20231123 06:01:00 Australia/Sydney,455.44,455.56,455.43,455.52,666.24
20231123 06:02:00 Australia/Sydney,455.51,455.55,455.49,455.53,743.79
20231123 06:03:00 Australia/Sydney,455.53,455.54,455.41,455.42,459.18
20231123 06:04:00 Australia/Sydney,455.42,455.47,455.41,455.43,743.34
20231123 06:05:00 Australia/Sydney,455.42,455.54,455.41,455.52,947.54
20231123 06:06:00 Australia/Sydney,455.51,455.58,455.48,455.55,1563.85
20231123 06:07:00 Australia/Sydney,455.55,455.61,455.54,455.59,768.5
20231123 06:08:00 Australia/Sydney,455.6,455.6,455.53,455.56,428.59
20231123 06:09:00 Australia/Sydney,455.57,455.6,455.5,455.58,670.48
20231123 06:10:00 Australia/Sydney,455.59,455.62,455.53,455.54,778.09
20231123 06:11:00 Australia/Sydney,455.54,455.56,455.48,455.5,411.2
20231123 06:12:00 Australia/Sydney,455.51,455.51,455.36,455.41,1761.33
20231123 06:13:00 Australia/Sydney,455.42,455.44,455.36,455.38,429.43
20231123 06:14:00 Australia/Sydney,455.36,455.38,455.27,455.32,708.93
20231123 06:15:00 Australia/Sydney,455.31,455.35,455.23,455.33,937.3
20231123 06:16:00 Australia/Sydney,455.34,455.48,455.33,455.38,1255.57
20231123 06:17:00 Australia/Sydney,455.39,455.44,455.35,455.44,478.04
20231123 06:18:00 Australia/Sydney,455.44,455.54,455.42,455.5,725.6
20231123 06:19:00 Australia/Sydney,455.5,455.54,455.47,455.5,351.86
20231123 06:20:00 Australia/Sydney,455.49,455.51,455.39,455.43,584.92
20231123 06:21:00 Australia/Sydney,455.44,455.49,455.4,455.45,494.54
20231123 06:22:00 Australia/Sydney,455.44,455.45,455.36,455.37,498.26
20231123 06:23:00 Australia/Sydney,455.36,455.43,455.35,455.39,554.59
20231123 06:24:00 Australia/Sydney,455.39,455.4,455.3,455.32,493.51
20231123 06:25:00 Australia/Sydney,455.33,455.48,455.32,455.45,595.49
20231123 06:26:00 Australia/Sydney,455.44,455.5,455.42,455.48,515.72
20231123 06:27:00 Australia/Sydney,455.49,455.49,455.44,455.45,528.48
20231123 06:28:00 Australia/Sydney,455.46,455.47,455.4,455.43,569.05
