Include symbols,Price,Strike,Exp. date,Days to expiration,Options,Delta,Max Loss,Moneyness,Total Opt. Vol.,Max Profit,IV Rank,Earn. date,Bid Ask Spread (single option),Stock Score (Growth),ATR Lower Breakeven,ATR Upper Breakeven,Profit Ratio,Expected Value,Stock Score (Technical),Stock Score (Fundamental)
LRCX,73.88,67.00/68.00/77.50/78.00,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 LRCX 06-DEC-24 67 PUT/-1 LRCX 06-DEC-24 68 PUT/-1 LRCX 06-DEC-24 77.5 CALL/+1 LRCX 06-DEC-24 78 CALL,-0.041406523,0.53,-0.09312399/-0.079588525/0.048998374/0.055766106,35948.1,0.47,0.31349206,01/22/2025 00:00:00,0.0700/0.2500/0.4200/0.2600,9,2.591837,1.6693878,0.8867925,0.36446163,5,7
FSLR,199.27,182.50/187.50/217.50/225.00,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 FSLR 06-DEC-24 182.5 PUT/-1 FSLR 06-DEC-24 187.5 PUT/-1 FSLR 06-DEC-24 217.5 CALL/+1 FSLR 06-DEC-24 225 CALL,0.022089966,5.985,-0.08415718/-0.059065588/0.09148391/0.12912129,29901.4,1.515,0.41269842,02/25/2025 00:00:00,0.3100/0.3700/0.2100/0.3600,7,1.3324975,1.9804413,0.25313282,0.32038978,7,5
MCD,296.01,287.50/290.00/312.50/315.00,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 MCD 06-DEC-24 287.5 PUT/-1 MCD 06-DEC-24 290 PUT/-1 MCD 06-DEC-24 312.5 CALL/+1 MCD 06-DEC-24 315 CALL,0.047748007,1.92,-0.028749028/-0.020303369/0.055707578/0.06415324,19863.2,0.58,0.2777778,02/03/2025 00:00:00,0.1300/0.3200/0.4300/0.0800,5,1.334008,3.4554656,0.30208334,0.2836469,7,5
AMAT,174.71,165.00/167.50/180.00/182.50,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 AMAT 06-DEC-24 165 PUT/-1 AMAT 06-DEC-24 167.5 PUT/-1 AMAT 06-DEC-24 180 CALL/+1 AMAT 06-DEC-24 182.5 CALL,-0.03789319,1.495,-0.055577815/-0.041268386/0.030278748/0.044588175,53727.2,1.005,0.0734127,02/20/2025 00:00:00,0.2900/0.4500/0.1100/0.3400,8,1.4775181,1.1321943,0.6722408,0.25402266,7,7
PANW,387.82,360.00/365.00/402.50/407.50,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 PANW 06-DEC-24 360 PUT/-1 PANW 06-DEC-24 365 PUT/-1 PANW 06-DEC-24 402.5 CALL/+1 PANW 06-DEC-24 407.5 CALL,-0.049663763,4.145,-0.07173431/-0.05884173/0.03785261/0.050745193,44887.6,0.855,0.003968254,02/18/2025 00:00:00,0.1400/0.2700/0.2300/0.3300,9,2.0676856,1.3567685,0.20627262,0.23825891,9,2
MS,131.61,119.00/120.00/135.00/136.00,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 MS 06-DEC-24 119 PUT/-1 MS 06-DEC-24 120 PUT/-1 MS 06-DEC-24 135 CALL/+1 MS 06-DEC-24 136 CALL,-0.023389583,0.6,-0.095813386/-0.08821518/0.025757922/0.033356126,22277.4,0.4,0.25396827,01/16/2025 00:00:00,0.0300/0.4200/0.3700/0.2400,7,4.1130137,1.2979453,0.6666666,0.23112236,10,6
V,315.08,305.00/307.50/325.00/327.50,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 V 06-DEC-24 305 PUT/-1 V 06-DEC-24 307.5 PUT/-1 V 06-DEC-24 325 CALL/+1 V 06-DEC-24 327.5 CALL,0.029922172,2.03,-0.031991877/-0.024057383/0.031484067/0.03941856,26249.3,0.47,0.007936508,01/23/2025 00:00:00,0.2200/0.2600/0.1500/0.0500,8,1.7538127,2.2636166,0.23152709,0.22807176,9,6
VST,159.84,148.00/152.50/172.50/177.50,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 VST 06-DEC-24 148 PUT/-1 VST 06-DEC-24 152.5 PUT/-1 VST 06-DEC-24 172.5 CALL/+1 VST 06-DEC-24 177.5 CALL,0.044485934,3.35,-0.074074075/-0.04592092/0.0792042/0.11048549,27766.9,1.65,0.5515873,02/26/2025 00:00:00,0.4000/0.3000/0.1500/0.1500,7,1.0274285,1.6354285,0.49253732,0.19795875,10,6
SMCI,32.64,24.00/27.50/42.00/46.00,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 SMCI 06-DEC-24 24 PUT/-1 SMCI 06-DEC-24 27.5 PUT/-1 SMCI 06-DEC-24 42 CALL/+1 SMCI 06-DEC-24 46 CALL,0.04339333,3.33,-0.2647059/-0.15747549/0.2867647/0.40931374,968439.4,0.67,0.9206349,01/27/2025 00:00:00,0.0400/0.0400/0.0400/0.0200,4,1.4381188,2.4826732,0.20120122,0.17228204,10,4
UAL,96.83,93.00/94.00/105.00/107.00,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 UAL 06-DEC-24 93 PUT/-1 UAL 06-DEC-24 94 PUT/-1 UAL 06-DEC-24 105 CALL/+1 UAL 06-DEC-24 107 CALL,-0.009645648,1.445,-0.03955386/-0.02922648/0.08437467/0.105029434,45268,0.555,0.5833333,01/27/2025 00:00:00,0.3000/0.3500/0.3500/0.1500,7,1.0746032,2.7698414,0.38408303,0.1589935,10,7
GS,608.57,590.00/595.00/635.00/640.00,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 GS 06-DEC-24 590 PUT/-1 GS 06-DEC-24 595 PUT/-1 GS 06-DEC-24 635 CALL/+1 GS 06-DEC-24 640 CALL,0.045095578,3.86,-0.030514156/-0.022298174/0.04342968/0.051645663,23679.3,1.14,0.10714286,01/21/2025 00:00:00,0.4800/0.4400/0.2900/0.2100,6,1.1160849,2.091806,0.29533678,0.14532311,10,5
WYNN,94.38,88.00/90.00/98.00/99.00,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 WYNN 06-DEC-24 88 PUT/-1 WYNN 06-DEC-24 90 PUT/-1 WYNN 06-DEC-24 98 CALL/+1 WYNN 06-DEC-24 99 CALL,0.0022998601,1.545,-0.067599066/-0.04640814/0.038355585/0.04895105,28542.8,0.455,0.30952382,02/05/2025 00:00:00,0.0500/0.0700/0.0900/0.3200,2,1.7392086,1.4658273,0.29449838,0.14522202,7,10
BA,155.44,148.00/149.00/162.50/165.00,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 BA 06-DEC-24 148 PUT/-1 BA 06-DEC-24 149 PUT/-1 BA 06-DEC-24 162.5 CALL/+1 BA 06-DEC-24 165 CALL,-0.03407824,1.95,-0.047864128/-0.04143078/0.045419455/0.06150283,173093.4,0.55,0.2936508,01/29/2025 00:00:00,0.2000/0.1800/0.0700/0.1100,1,1.4967879,1.6295503,0.2820513,0.13822027,2,1
ALB,107.70,99.00/101.00/116.00/118.00,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 ALB 06-DEC-24 99 PUT/-1 ALB 06-DEC-24 101 PUT/-1 ALB 06-DEC-24 116 CALL/+1 ALB 06-DEC-24 118 CALL,-0.005955439,1.47,-0.08077995/-0.06220984/0.07706592/0.095636025,9040.7,0.53,0.103174604,02/12/2025 00:00:00,0.0900/0.3100/0.3900/0.1700,5,1.5548385,1.8989247,0.3605442,0.1311348,7,5
ABNB,136.11,131.00/132.00/142.00/143.00,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 ABNB 06-DEC-24 131 PUT/-1 ABNB 06-DEC-24 132 PUT/-1 ABNB 06-DEC-24 142 CALL/+1 ABNB 06-DEC-24 143 CALL,0.0034091398,0.565,-0.037543163/-0.030196166/0.04327382/0.05062082,27763.8,0.435,0.10714286,02/11/2025 00:00:00,0.0800/0.2700/0.2500/0.0900,4,1.1653845,1.6217948,0.7699115,0.128855,7,6
DHI,168.78,157.50/160.00/177.50/180.00,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 DHI 06-DEC-24 157.5 PUT/-1 DHI 06-DEC-24 160 PUT/-1 DHI 06-DEC-24 177.5 CALL/+1 DHI 06-DEC-24 180 CALL,0.0096476525,1.925,-0.066832565/-0.052020382/0.05166489/0.06647707,5854.3,0.575,0.5277778,01/28/2025 00:00:00,0.1500/0.3000/0.2000/0.2000,7,1.8451676,1.8333333,0.2987013,0.12716423,7,9
META,574.32,555.00/557.50/587.50/590.00,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 META 06-DEC-24 555 PUT/-1 META 06-DEC-24 557.5 PUT/-1 META 06-DEC-24 587.5 CALL/+1 META 06-DEC-24 590 CALL,-0.0042548627,1.32,-0.03363978/-0.02928681/0.022948878/0.027301854,328122.6,1.18,0.011904762,02/06/2025 00:00:00,0.1800/0.3400/0.3000/0.1200,9,1.319648,1.0527859,0.8939393,0.118053146,9,7
LVS,53.06,49.00/51.00/55.00/57.00,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 LVS 06-DEC-24 49 PUT/-1 LVS 06-DEC-24 51 PUT/-1 LVS 06-DEC-24 55 CALL/+1 LVS 06-DEC-24 57 CALL,-0.02505361,1.52,-0.07651715/-0.038823973/0.036562383/0.07425556,12629.8,0.48,0.1468254,01/22/2025 00:00:00,0.0100/0.0500/0.0500/0.0300,2,2.1709402,2.068376,0.31578946,0.107749104,7,7
TMUS,246.94,240.00/242.50/255.00/257.50,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 TMUS 06-DEC-24 240 PUT/-1 TMUS 06-DEC-24 242.5 PUT/-1 TMUS 06-DEC-24 255 CALL/+1 TMUS 06-DEC-24 257.5 CALL,0.035012335,1.805,-0.028103992/-0.017980076/0.032639507/0.042763423,8228.7,0.695,0.3531746,01/23/2025 00:00:00,0.1100/0.3200/0.2900/0.3300,9,1.3337663,2.274026,0.38504156,0.10018026,9,7
UPS,135.72,130.00/132.00/138.00/139.00,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 UPS 06-DEC-24 130 PUT/-1 UPS 06-DEC-24 132 PUT/-1 UPS 06-DEC-24 138 CALL/+1 UPS 06-DEC-24 139 CALL,-0.008096896,1.53,-0.042145595/-0.027409373/0.016799293/0.024167404,26241.3,0.47,0.007936508,02/04/2025 00:00:00,0.0200/0.1900/0.2200/0.1900,8,1.5347985,1.007326,0.30718955,0.09951122,5,7
DELL,127.59,121.00/122.00/134.00/136.00,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 DELL 06-DEC-24 121 PUT/-1 DELL 06-DEC-24 122 PUT/-1 DELL 06-DEC-24 134 CALL/+1 DELL 06-DEC-24 136 CALL,-0.022848487,1.495,-0.051649816/-0.04381221/0.050239045/0.06591426,96758,0.505,0.19444445,,0.1500/0.3500/0.1100/0.3400,5,1.0107795,1.1467661,0.33779263,0.09731041,10,7
TSLA,345.16,320.00/327.50/385.00/395.00,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 TSLA 06-DEC-24 320 PUT/-1 TSLA 06-DEC-24 327.5 PUT/-1 TSLA 06-DEC-24 385 CALL/+1 TSLA 06-DEC-24 395 CALL,0.04776443,8.33,-0.07289373/-0.051164676/0.11542473/0.1443968,2318723,1.67,0.28174603,01/22/2025 00:00:00,0.0500/0.1500/0.0300/0.0300,9,1.1160508,2.3966513,0.2004802,0.07843948,10,3
MTCH,32.74,30.50/31.50/34.00/35.00,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 MTCH 06-DEC-24 30.5 PUT/-1 MTCH 06-DEC-24 31.5 PUT/-1 MTCH 06-DEC-24 34 CALL/+1 MTCH 06-DEC-24 35 CALL,0.015629537,0.585,-0.06841784/-0.03787416/0.038485035/0.06902871,13721.4,0.415,0.5119048,02/04/2025 00:00:00,0.0300/0.4900/0.2900/0.0400,7,1.5467291,1.5654206,0.7094017,0.07395306,5,9
ENPH,71.35,63.00/65.00/76.00/77.00,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 ENPH 06-DEC-24 63 PUT/-1 ENPH 06-DEC-24 65 PUT/-1 ENPH 06-DEC-24 76 CALL/+1 ENPH 06-DEC-24 77 CALL,0.018622842,1.545,-0.11702873/-0.0889979/0.06517169/0.0791871,52314.6,0.455,0.42063493,02/04/2025 00:00:00,0.1800/0.1200/0.1300/0.2400,5,1.4923246,1.1195176,0.29449838,0.06489841,2,6
CRWD,345.97,317.50/320.00/365.00/367.50,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 CRWD 06-DEC-24 317.5 PUT/-1 CRWD 06-DEC-24 320 PUT/-1 CRWD 06-DEC-24 365 CALL/+1 CRWD 06-DEC-24 367.5 CALL,-0.015172347,2.02,-0.082290374/-0.07506431/0.055004768/0.06223083,65233.9,0.48,0.22619048,,0.1500/0.3800/0.2000/0.1900,7,2.1176941,1.5620496,0.23762377,0.056981117,10,5